Time(s)	UC1(V)	UC2(V)	I2(A)	U2(V)	U1(V)
0.006750	-0.000006	-0.000047	-0.000374	-0.011637	-5.000000
0.006765	-0.000010	-0.000049	-0.000379	-0.011791	-4.900000
0.006780	-0.000014	-0.000050	-0.000384	-0.011942	-4.800000
0.006795	-0.000018	-0.000052	-0.000388	-0.012090	-4.700000
0.006810	-0.000022	-0.000054	-0.000393	-0.012235	-4.600000
0.006825	-0.000026	-0.000057	-0.000397	-0.012377	-4.500000
0.006840	-0.000029	-0.000059	-0.000402	-0.012516	-4.400000
0.006855	-0.000034	-0.000061	-0.000406	-0.012651	-4.300000
0.006870	-0.000038	-0.000063	-0.000410	-0.012784	-4.200000
0.006885	-0.000042	-0.000065	-0.000414	-0.012913	-4.100000
0.006900	-0.000046	-0.000067	-0.000418	-0.013040	-4.000000
0.006915	-0.000050	-0.000069	-0.000422	-0.013163	-3.900000
0.006930	-0.000054	-0.000071	-0.000426	-0.013283	-3.800000
0.006945	-0.000058	-0.000074	-0.000430	-0.013400	-3.700000
0.006960	-0.000063	-0.000076	-0.000433	-0.013514	-3.600000
0.006975	-0.000067	-0.000078	-0.000437	-0.013625	-3.500000
0.006990	-0.000071	-0.000080	-0.000440	-0.013733	-3.400000
0.007005	-0.000076	-0.000083	-0.000444	-0.013838	-3.300000
0.007020	-0.000080	-0.000085	-0.000447	-0.013939	-3.200000
0.007035	-0.000084	-0.000087	-0.000450	-0.014038	-3.100000
0.007050	-0.000089	-0.000090	-0.000453	-0.014133	-3.000000
0.007065	-0.000093	-0.000092	-0.000456	-0.014226	-2.900000
0.007080	-0.000098	-0.000094	-0.000459	-0.014315	-2.800000
0.007095	-0.000102	-0.000097	-0.000461	-0.014401	-2.700000
0.007110	-0.000107	-0.000099	-0.000464	-0.014484	-2.600000
0.007125	-0.000112	-0.000102	-0.000467	-0.014564	-2.500000
0.007140	-0.000116	-0.000104	-0.000469	-0.014641	-2.400000
0.007155	-0.000121	-0.000106	-0.000471	-0.014715	-2.300000
0.007170	-0.000125	-0.000109	-0.000473	-0.014785	-2.200000
0.007185	-0.000130	-0.000111	-0.000476	-0.014853	-2.100000
0.007200	-0.000135	-0.000114	-0.000478	-0.014917	-2.000000
0.007215	-0.000139	-0.000116	-0.000479	-0.014979	-1.900000
0.007230	-0.000144	-0.000119	-0.000481	-0.015037	-1.800000
0.007245	-0.000149	-0.000121	-0.000483	-0.015092	-1.700000
0.007260	-0.000153	-0.000124	-0.000485	-0.015144	-1.600000
0.007275	-0.000158	-0.000126	-0.000486	-0.015193	-1.500000
0.007290	-0.000163	-0.000129	-0.000487	-0.015239	-1.400000
0.007305	-0.000168	-0.000131	-0.000489	-0.015282	-1.300000
0.007320	-0.000172	-0.000134	-0.000490	-0.015322	-1.200000
0.007335	-0.000177	-0.000136	-0.000491	-0.015358	-1.100000
0.007350	-0.000182	-0.000139	-0.000492	-0.015392	-1.000000
0.007365	-0.000187	-0.000141	-0.000493	-0.015422	-0.900000
0.007380	-0.000192	-0.000144	-0.000494	-0.015449	-0.800000
0.007395	-0.000196	-0.000147	-0.000494	-0.015474	-0.700000
0.007410	-0.000201	-0.000149	-0.000495	-0.015495	-0.600000
0.007425	-0.000206	-0.000152	-0.000496	-0.015513	-0.500000
0.007440	-0.000211	-0.000154	-0.000496	-0.015528	-0.400000
0.007455	-0.000216	-0.000157	-0.000496	-0.015539	-0.300000
0.007470	-0.000220	-0.000159	-0.000496	-0.015548	-0.200000
0.007485	-0.000225	-0.000162	-0.000497	-0.015554	-0.100000
